iter	Passed	Remaining
0	1	1487
1	3	1531
2	4	1441
3	6	1540
4	7	1413
5	8	1383
6	9	1312
7	10	1337
8	11	1299
9	12	1260
10	13	1220
11	14	1186
12	15	1152
13	17	1211
14	18	1185
15	19	1229
16	20	1209
17	21	1197
18	22	1181
19	24	1187
20	25	1199
21	27	1217
22	28	1209
23	29	1197
24	30	1207
25	32	1225
26	33	1215
27	35	1221
28	36	1219
29	37	1202
30	38	1197
31	39	1189
32	40	1180
33	41	1183
34	42	1182
35	43	1172
36	44	1164
37	46	1168
38	47	1180
39	49	1185
40	50	1182
41	52	1186
42	53	1190
43	54	1189
44	55	1185
45	57	1188
46	58	1190
47	60	1192
48	61	1196
49	62	1191
50	63	1188
51	64	1184
52	66	1184
53	67	1188
54	69	1187
55	70	1184
56	71	1180
57	73	1185
58	74	1190
59	75	1189
60	80	1231
61	81	1229
62	82	1226
63	83	1220
64	84	1218
65	86	1228
66	90	1261
67	91	1258
68	93	1267
69	95	1267
70	97	1269
71	99	1278
72	100	1275
73	101	1268
74	102	1260
75	103	1254
76	104	1255
77	105	1250
78	109	1274
79	111	1285
80	113	1282
81	114	1284
82	115	1274
83	116	1270
84	117	1264
85	118	1258
86	119	1252
87	120	1250
88	122	1255
89	124	1253
90	125	1253
91	126	1248
92	127	1244
93	128	1240
94	129	1234
95	130	1228
96	131	1224
97	132	1218
98	133	1214
99	135	1215
100	138	1234
101	141	1244
102	142	1243
103	144	1242
104	145	1238
105	146	1235
106	147	1231
107	148	1228
108	150	1232
109	152	1236
110	155	1241
111	156	1237
112	157	1233
113	158	1229
114	159	1225
115	160	1221
116	160	1214
117	161	1209
118	163	1208
119	166	1217
120	170	1236
121	171	1233
122	172	1232
123	174	1231
124	175	1228
125	176	1224
126	177	1219
127	178	1216
128	180	1220
129	183	1225
130	184	1222
131	185	1220
132	187	1224
133	188	1221
134	189	1216
135	190	1213
136	191	1209
137	193	1211
138	196	1220
139	200	1229
140	201	1230
141	203	1227
142	204	1225
143	205	1224
144	207	1226
145	210	1230
146	212	1235
147	214	1237
148	216	1236
149	217	1233
150	218	1229
151	219	1225
152	220	1222
153	223	1228
154	226	1235
155	229	1241
156	231	1240
157	232	1238
158	233	1234
159	234	1230
160	235	1224
161	236	1220
162	238	1224
163	241	1229
164	243	1234
165	245	1234
166	247	1233
167	248	1232
168	250	1233
169	253	1237
170	257	1247
171	259	1247
172	260	1246
173	262	1245
174	264	1246
175	270	1265
176	273	1269
177	275	1270
178	276	1269
